Away	Home	Spread (H)	O/U	Away score	Home score
BUF	LAR	2.5	52	31	10
NO	ATL	5.5	43	27	26
SF	CHI	7.5	40.5	10	19
PIT	CIN	-6.5	44.5	23	20
PHI	DET	4.5	48.5	38	35
NE	MIA	-3.5	46	7	20
BAL	NYJ	7.5	44.5	24	9
JAX	WAS	-2.5	44	22	28
CLE	CAR	-0.5	42	26	24
IND	HOU	7.5	45.5	20	20
NYG	TEN	-5.5	43.5	21	20
GB	MIN	1.5	47	7	23
KC	ARI	6.5	53.5	44	21
LV	LAC	-3.5	52	19	24
TB	DAL	2.5	50.5	19	3
DEN	SEA	6.5	44.5	16	17
LAC	KC	-4.5	52.5	24	27
NYJ	CLE	-6.5	39.5	31	30
WAS	DET	-1.5	48.5	27	36
TB	NO	2.5	44.5	20	10
CAR	NYG	-2.5	43.5	16	19
NE	PIT	2.5	40.5	17	14
IND	JAX	3.5	45	0	24
MIA	BAL	-3.5	44.5	42	38
ATL	LAR	-10.5	46.5	27	31
SEA	SF	-8.5	41	7	27
CIN	DAL	7.5	41.5	17	20
HOU	DEN	-10.5	46	9	16
ARI	LV	-5.5	51.5	29	23
CHI	GB	-10.5	41.5	10	27
TEN	BUF	-10.5	48	7	41
MIN	PHI	-2.5	50.5	7	24
pit	clev	-4.5	38	17	27
hou	chi	-2.5	40	20	23
lv	tenn	2.5	45.5	22	24
kc	ind	5.5	50.5	17	20
buf	mia	5.5	52.5	19	21
det	min	-6.5	52.5	24	28
bal	ne	3.5	44	37	26
cin	nyj	6.5	45	27	12
phi	was	6.5	47	24	8
no	car	2.5	41	14	22
jax	lac	-7.5	47	38	10
lar	ari	3.5	48.5	20	12
atl	sea	-0.5	42	27	23
gb	tb	-1.5	42	14	12
sf	den	1.5	45	10	11
dal	nyg	-1.5	39	23	16
mia	cin	-4.5	49	15	27
MIN	NO	2.5	43.5	28	25
CLE	ATL	1.5	47	20	23
WAS	DAL	-3.5	41.5	10	25
SEA	DET	-4.5	48	48	45
TEN	IND	-3.5	43	24	17
CHI	NYG	-3.5	39.5	12	20
JAX	PHI	-6.5	45.5	21	29
NYJ	PIT	-3.5	41.5	24	20
BUF	BAL	3.5	51	23	20
LAC	HOU	5.5	45	34	24
ARI	CAR	-1.5	43.5	26	16
NE	GB	-9.5	40.5	24	27
DEN	LV	-2.5	45.5	23	32
KC	TB	-0.5	45.5	41	31
LAR	SF	-1.5	42.5	9	24
IND	DEN	-3.5	42	12	9
NYG	GB	-8.5	41	27	22
PIT	BUF	-14.5	46.5	3	38
LAC	CLE	2.5	47.5	30	28
CHI	MIN	-7.5	44	22	29
DET	NE	-3.5	46	0	29
SEA	NO	-5.5	46	32	39
MIA	NYJ	3.5	46	17	40
ATL	TB	-9.5	46.5	15	21
TEN	WAS	1.5	43	21	17
HOU	JAX	-7.5	43.5	13	6
SF	CAR	6.5	39	37	15
DAL	LAR	-5.5	43	22	10
PHI	ARI	5.5	49	20	17
CIN	BAL	-3.5	48	17	19
LV	KC	-7.5	51	29	30
WAS	CHI	1.5	38.5	12	7
SF	ATL	5.5	44.5	14	28
NE	CLE	-2.5	43	38	15
NYJ	GB	-7.5	45	27	10
JAX	IND	-2.5	42	27	34
MIN	MIA	3.5	45.5	24	16
CIN	NO	2.5	43	30	26
BAL	NYG	5.5	45	20	24
TB	PIT	9.5	45	18	20
CAR	LAR	-10.5	41.5	10	24
ARI	SEA	2.5	50.5	9	19
BUF	KC	2.5	54	24	20
DAL	PHI	-6.5	42	17	26
DEN	LAC	-4.5	45.5	16	19
NO	ARI	-2.5	44	34	42
ATL	CIN	-6.5	47.5	17	35
DET	DAL	-7.5	49	6	24
IND	TEN	-2.5	42	10	19
GB	WAS	4.5	41.5	21	23
TB	CAR	11.5	40	3	21
NYG	JAX	-3.5	43	23	17
CLE	BAL	-6.5	45.5	20	23
NYJ	DEN	-0.5	38	16	9
HOU	LV	-7.5	45.5	20	38
SEA	LAC	-5.5	50.5	37	23
KC	SF	2.5	48.5	44	23
PIT	MIA	-7.5	44.5	10	16
CHI	NE	-9.5	39.5	33	14
BAL	TB	-2.5	46.5	27	22
DEN	JAX	-2.5	39.5	21	17
CAR	ATL	-4.5	41	34	37
CHI	DAL	-9.5	42.5	29	49
MIA	DET	3.5	51.5	31	27
ARI	MIN	-3.5	49	26	34
LV	NO	1.5	49.5	0	24
NE	NYJ	2.5	40.5	22	17
PIT	PHI	-10.5	43	13	35
TEN	HOU	2.5	40.5	17	10
WAS	IND	-3.5	39.5	17	16
SF	LAR	1.5	43	31	14
NYG	SEA	-3.5	44.5	13	27
GB	BUF	-11.5	47.5	17	27
CIN	CLE	3.5	45	13	32
